,Valid
0,0.1414069255145779
1,0.18508263423411553
2,0.22199349522147627
3,0.23425079359705447
4,0.2377207436346186
5,0.2230261262613028
6,0.24995102956303195
7,0.26876311208364145
8,0.2829852555881035
9,0.31001861123629737
10,0.39025917952973044
11,0.38493747084693797
12,0.39952781892349987
13,0.3991965399723493
14,0.4084495709689838
15,0.42306726405838535
16,0.43276569371132567
17,0.4271444977009291
18,0.4271829936388224
19,0.4353961709396563
20,0.4343703207758681
21,0.43234968710499144
22,0.4310854055306558
23,0.4354988128202032
24,0.4336886529986018
25,0.4389038238101579
26,0.44432479088605237
27,0.43860060341963925
28,0.43860060341963925
29,0.4385843460572155
30,0.4364451030658344
31,0.4455826625167165
32,0.44664251868075955
33,0.45142428293928205
34,0.44774416243196713
35,0.44845230786672996
36,0.44845230786672996
