,composition_carbonate,composition_metal,composition_oxide,carbonate_mp_id,carbonate_mp_E (ev/atom),carbonate_mp_E_uncorrected (ev/atom),carbonate_mp_corrections,metal_mp_id,metal_mp_E (ev/atom),metal_mp_E_uncorrected (ev/atom),metal_mp_corrections,oxide_mp_id,oxide_mp_E (ev/atom),oxide_mp_E_uncorrected (ev/atom),oxide_mp_corrections,carbonate_freed_dhf,oxide_freed_dhf
0,Li2CO3,Li,Li2O,mp-3054,-6.904151049166667,-6.553006049166666,"[['MP Anion Correction', -2.10687]]",mp-1018134,-1.9089228533333333,-1.9089228533333333,[],mp-1960,-4.98863016,-4.754533493333333,"[['MP Anion Correction', -0.70229]]",-2.1005660148084146,-2.065595047057001
1,Na2CO3,Na,Na2O,mp-1201027,-6.5399563148611115,-6.188811314861112,"[['MP Anion Correction', -2.10687]]",mp-10172,-1.312223005,-1.312223005,[],mp-2352,-3.97444596,-3.7403492933333333,"[['MP Anion Correction', -0.70229]]",-1.9505211019538364,-1.4411338719123379
2,K2CO3,K,K2O,mp-3963,-6.5069436962500005,-6.15579869625,"[['MP Anion Correction', -2.10687]]",mp-1184905,-1.110398947,-1.110398947,[],mp-971,-3.642539993333333,-3.4084433266666667,"[['MP Anion Correction', -0.70229]]",-1.9867990374245112,-1.1745836824071743
3,Cs2CO3,Cs,Cs2O,mp-616458,-6.385984987083333,-6.034839987083333,"[['MP Anion Correction', -2.10687]]",mp-1184151,-0.8954023720689656,-0.8954023720689656,[],mp-7988,-3.4397580433333332,-3.205661376666667,"[['MP Anion Correction', -0.70229]]",-1.9604169868657573,-1.1952576112253046
4,MgCO3,Mg,MgO,mp-5348,-7.592264808,-7.170890808,"[['MP Anion Correction', -2.10687]]",mp-1094122,-1.5968959166666667,-1.5968959166666667,[],mp-1265,-6.33485572,-5.98371072,"[['MP Anion Correction', -0.70229]]",-2.3073229107930753,-3.117023226095996
5,CaCO3,Ca,CaO,mp-3953,-7.912806647000001,-7.491432647000001,"[['MP Anion Correction', -2.10687]]",mp-132,-1.999462735,-1.999462735,[],mp-2605,-6.790111534999999,-6.438966535,"[['MP Anion Correction', -0.70229]]",-2.5035061776831316,-3.291131490568256
6,SrCO3,Sr,SrO,mp-3822,-7.8615950275,-7.4402210275,"[['MP Anion Correction', -2.10687]]",mp-1187073,-1.6894812533333334,-1.6894812533333334,[],mp-2472,-6.403462895,-6.052317895,"[['MP Anion Correction', -0.70229]]",-2.5262599906835703,-3.060210394399741
7,BaCO3,Ba,BaO,mp-5504,-7.890715378,-7.469341378,"[['MP Anion Correction', -2.10687]]",mp-122,-1.91897083,-1.91897083,[],mp-1342,-6.264741095,-5.913596095,"[['MP Anion Correction', -0.70229]]",-2.509781489213506,-2.839923558953492
8,MnCO3,Mn,MnO,mp-18814,-8.672104857192,-7.914560827,"[['MP Anion Correction', -2.10687], ['MP Advanced Correction', -1.68085015096]]",mp-35,-9.161706470344827,-9.161706470344827,[],mp-19006,-9.04827722048,-7.856707145,"[['MP Anion Correction', -0.70229], ['MP Advanced Correction', -1.68085015096]]",-1.8422864566413046,-1.9962763568594042
9,FeCO3,Fe,FeO,mp-18969,-8.402893626,-7.434919626,"[['MP Anion Correction', -2.10687], ['MP Advanced Correction', -2.733]]",mp-13,-8.46929704,-8.46929704,[],mp-1279742,-8.436655495,-6.719010495,"[['MP Anion Correction', -0.70229], ['MP Advanced Correction', -2.733]]",-1.5378675700533706,-1.4093267284311863
10,Ag2CO3,Ag,Ag2O,mp-4691,-6.0572567075,-5.7061117075,"[['MP Anion Correction', -2.10687]]",mp-989737,-2.8325290566666665,-2.8325290566666665,[],mp-353,-3.865342645,-3.6312459783333337,"[['MP Anion Correction', -0.70229]]",-0.8736473390183717,-0.10725796741504902
11,ZnCO3,Zn,ZnO,mp-9812,-6.898110604,-6.476736604,"[['MP Anion Correction', -2.10687]]",mp-79,-1.259460605,-1.259460605,[],mp-2133,-4.90236748,-4.55122248,"[['MP Anion Correction', -0.70229]]",-1.6895568941020411,-1.816131572497522
12,CdCO3,Cd,CdO,mp-4385,-6.771101905,-6.349727905,"[['MP Anion Correction', -2.10687]]",mp-94,-0.90620278,-0.90620278,[],mp-1132,-4.307781945,-3.956636945,"[['MP Anion Correction', -0.70229]]",-1.5733410448090128,-1.3377788604857233
13,Tl2CO3,Tl,Tl2O,mp-543045,-6.303112344166667,-5.951967344166667,"[['MP Anion Correction', -2.10687]]",mp-39,-2.36165292,-2.36165292,[],mp-27484,-4.049459073333334,-3.815362406666667,"[['MP Anion Correction', -0.70229]]",-1.2089212933332172,-0.583970052396908
14,PbCO3,Pb,PbO,mp-19893,-7.3754388849999994,-6.954064884999999,"[['MP Anion Correction', -2.10687]]",mp-20483,-3.71258955,-3.71258955,[],mp-672237,-5.8070255195312495,-5.45588051953125,"[['MP Anion Correction', -0.70229]]",-1.4566109466605437,-1.1348557282778493
